DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-10,98.7,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-11,99.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2006-12,101.2,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-01,100.7,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-02,101.2,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-03,101.9,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-04,100.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-05,102.2,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-06,102.5,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-07,102.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-08,103.1,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-09,102.9,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-10,103.6,,
ESTAT:STS_INPR_M(1.0),05/12/25 11:00:00,Monthly,Production (volume),"Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply",Seasonally and calendar adjusted data,"Index, 2021=100",Euro area – 20 countries (from 2023),2007-11,103.0,,
